date_code,year_id,month_id,week_id,store_code,store_name,customer_name,channel,store_type,country,region,province,short_name,city,area,cluster,sub_channel,material,product_name,key_items,sku,style,division,gender,enduse,silhouette,sub_silhouette,fit_type,qty,lw_qty,lm_qty,amt,lw_amt,lm_amt,season_code,msrp,key_stories,product_line
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,3028637-101,UA W Court 96,,3028637-101,3028637,Footwear,Womens,Sportstyle,Casual Sneakers,Casual Visual Cushioning,Regular,2,,,719.20000,,,FW24,0.000,,
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1387377-011,Baseline Mesh MFO Short-GRY,,1387377-011,1387377,Apparel,Mens,Basketball,Bottoms,Shorts,Loose,1,5,,149.40000,392.17000,,,0.000,,
2025-02-16,2025,202502,202546,UABH_HKG_1470,Olympian City,Retail,O&O,BH,Hongkong,,,,Hongkong,1246.0000,,BH,1361542-100,W VELOCITI ADJ-WHT,Others,1361542-100,1361542,Accessories,Womens,Running,Headwear,Caps,One Size Fits Most,1,,,194.25000,,,FW23,229.000,Others,Inline
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1383245-016,UA TRAIL RUN PANTS,Trail Run,1383245-016,1383245,Apparel,Mens,Outdoor,Bottoms,Pants,Loose,3,2,,1542.03000,587.44000,,FW24,999.000,,Inline
2025-02-16,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1383668-377,Vanish Elite Vent SS-3XL,,1383668-377,1383668,Apparel,Mens,Training,Tops,Short-Sleeves,Fitted,1,,,449.00000,,,SS25,449.000,,Inline
2025-02-16,2025,202502,202546,UABH_HKG_1470,Olympian City,Retail,O&O,BH,Hongkong,,,,Hongkong,1246.0000,,BH,1389677-009,"Unstoppable Woven Sheen Jkt,XS",,1389677-009,1389677,Apparel,Womens,Training,外套,外套," LOOSE",1,,,949.00000,,,SS25,899.000,,Inline
2025-02-16,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1370382-001,UA Vanish Woven 8in Shorts,Others,1370382-001,1370382,Apparel,Mens,Training,Bottoms,Shorts,Fitted,1,,,399.00000,,,SS25,399.000,,Inline
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1386338-015,UA Launch Elite Half Zip-LG,Launch Elite,1386338-015,1386338,Apparel,Womens,Running,Tops,Long-Sleeves,Fitted,1,1,,318.01000,181.72000,,FW24,599.000,,Inline
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1387317-001,UA W BOXY CROP SIMPLE SS MFO,,1387317-001,1387317,Apparel,Womens,Sportstyle,Tops,Short-Sleeve Graphics,Loose,1,1,,135.20000,67.60000,,FW24,0.000,,MFO
2025-02-16,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1386428-015,UA Meridian Rib Bralette-TGR/TGR-LG,,1386428-015,1386428,Apparel,Womens,Training,Bras,Sport Bras,Fitted,1,,,419.30000,,,,0.000,,
2025-02-16,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1361524-090,UA HG Armour Comp LS,Armour HG,1361524-090,1361524,Apparel,Mens,Training,Tops,Long-Sleeves,Compression,1,,1,349.00000,,251.28000,SS25,349.000,,
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1376619-001,SEA UA M CORPORATE POLO,,1376619-001,1376619,Apparel,Mens,Training,Tops,Short-Sleeve Polos,Fitted,2,1,,488.60000,139.60000,,SS23,0.000,Others,Regional Development (incl. Dome)
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1328966-001,UA HG ARMOUR LONG SLEEVE,HG Armour Tops,1328966-001,1328966,Apparel,Womens,Training,Tops,Long-Sleeves,Fitted,1,2,,167.44000,215.28000,,SS24,299.000,,Inline
2025-02-16,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1376079-100,UA Iso-Chill AD 1pk Mid,OTHERS,1376079-100,1376079,Accessories,Unisex,Training,Socks,High Socks,Regular,1,,,4.10000,,,SS25,139.000,,Inline
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1382582-304,UA LAUNCH SHORTSLEEVE,,1382582-304,1382582,Apparel,Mens,Running,Tops,Short-Sleeves,Fitted,1,3,,179.40000,403.64000,,FW24,0.000,,Inline
2025-02-16,2025,202502,202546,UABH_HKG_1470,Olympian City,Retail,O&O,BH,Hongkong,,,,Hongkong,1246.0000,,BH,1376700-100,Men's UA Blitzing,OTHERS,1376700-100,1376700,Accessories,Mens,Sportstyle,Headwear,Caps,Stretch Fit,1,1,,114.50000,229.00000,,SS25,249.000,,Inline
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1370096-001,UA Breathe 2 No Show Tab 2pk,Others,1370096-001,1370096,Accessories,Womens,Training,Socks,Low,Regular,1,,,119.00000,,,SS24,149.000,,Inline
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1383365-561,UA Laser Wash SS,Iso Chill Run,1383365-561,1383365,Apparel,Womens,Running,Tops,Short-Sleeves,Loose,1,1,,349.30000,199.60000,,SS24,549.000,,Inline
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1384244-001,Velocity Twist SSC,Others,1384244-001,1384244,Apparel,Womens,Training,Tops,Short-Sleeves,Loose,4,,,597.00000,,,SS24,249.000,,MFO
2025-02-16,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,3027200-602,UA W Infinite 6-PNK,INFINITE,3027200-602,3027200,Footwear,Womens,Running,Performance Sneakers,Technical Performance,Regular,1,2,,769.30000,879.20000,,FW24,1099.000,,
