date_code,week_id,weekday_id,month_id,year_id,customer_name,customer_sort,store_master_code,store_code,store_name,short_name,country,region,province,city,store_type,district_manager,sub_channel,comp_flag,currency,lyd_trans,lyd_qty,lyd_amt,lyd_amt_notax,lyd_amt_usd_notax,lyd_orig_price,lyd_amt_usd,lyd_orig_price_usd_notax,lyd_disc_amt,lyd_disc_amt_notax,lyd_disc_amt_usd_notax,lyd_qty_return,lyd_amt_return,lyd_amt_return_notax,lyd_amt_return_usd_notax,lyd_trans_return,lyw_trans,lyw_qty,lyw_amt_notax,lyw_amt_usd,lyw_amt_usd_notax,ld_trans,ld_qty,ld_amt,ld_amt_notax,ld_amt_usd,lw_trans,lw_qty,lw_amt,lw_amt_notax,lw_amt_usd,lm_trans,lm_qty,lm_amt,lm_amt_notax,lm_amt_usd,trans,traffic,lyd_traffic,lyw_traffic,qty,amt,amt_notax,orig_price,amt_usd_notax,orig_price_usd_notax,disc_amt,disc_amt_notax,disc_amt_usd_notax,qty_return,amt_return,amt_return_notax,amt_return_usd_notax,trans_return,ld_traffic,lw_traffic,lm_traffic,avg_monthly_sales,channel,day_comp,week_comp,area,cluster,finance_comp,open_date,msrp,amt_target_f1,amt_notax_target_f1,qty_target_f1,trans_target_f1,traffic_target_f1,amt_usd_target_f1,amt_notax_usd_target_f1,cr_target_f1,asp_target_f1,upt_target_f1,atv_target_f1,amt_target_f0,amt_notax_target_f0,qty_target_f0,trans_target_f0,traffic_target_f0,amt_usd_target_f0,amt_notax_usd_target_f0,cr_target_f0,asp_target_f0,upt_target_f0,atv_target_f0,amt_target_f2,amt_notax_target_f2,qty_target_f2,trans_target_f2,traffic_target_f2,amt_usd_target_f2,amt_notax_usd_target_f2,cr_target_f2,asp_target_f2,upt_target_f2,atv_target_f2,amt_target_f3,amt_notax_target_f3,qty_target_f3,trans_target_f3,traffic_target_f3,amt_usd_target_f3,amt_notax_usd_target_f3,cr_target_f3,asp_target_f3,upt_target_f3,atv_target_f3,amt_target_f4,amt_notax_target_f4,qty_target_f4,trans_target_f4,traffic_target_f4,amt_usd_target_f4,amt_notax_usd_target_f4,cr_target_f4,asp_target_f4,upt_target_f4,atv_target_f4,amt_target,amt_notax_target,qty_target,trans_target,traffic_target,amt_usd_target,amt_notax_usd_target,cr_target,asp_target,upt_target,atv_target
2025-02-17,202546,2,202502,2025,UAHONGKONGWFH,,UAHKG06,UAHKG06,HONG KONG TKO POPCORN,,Hongkong,,,,BH,,BH,Y,HKD,162,0,9233.2700,9233.2700000000,1183.980225,0.0000,1183.9802250000,0.000000,0.000000,0.000000,-1183.980225,0,0.000000,0.000000,0.000000,0,147,0,9651.3300000000,1237.5879680000,1237.587968,,,,,,,,,,,107,0,6488.0600,6488.0600000000,832.9443650000,,,,,,,,,,,,,,,,,,,,,,118311.480000,FP,Y,Y,0.0000,,Y,2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-17,202546,2,202502,2025,UAHONGKONGWFH,,UAHKG02,UAHKG02,HONG KONG CAUSEWAY BAY SOGO DS,,Hongkong,,,HONG KONG,BH,,BH,Y,HKD,491,5,31773.8400,31773.8400000000,4074.352665,0.0000,4074.3526650000,0.000000,0.000000,0.000000,-4074.352665,0,0.000000,0.000000,0.000000,0,357,0,19483.2000000000,2498.3265430000,2498.326543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP,Y,Y,0.0000,,Y,2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-17,202546,2,202502,2025,EC,,EC-HK,EC-HK,HK,HK,Hongkong,,,,EC-HK,,UA.com,Y,HKD,,,,,,,,,,,,,,,,,72,226,50807.6000000000,6515.0476130000,6515.047613,,,,,,84,190,57619.1200,57619.1200000000,7397.2067670000,42,112,24941.1900,24941.1900000000,3201.9777360000,,,5695,5688,,,,,,,,,,,,,,,3850,2624,3531,849258.925000,EC,Y,Y,0.0000,,Y,2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-17,202546,2,202502,2025,Retail,,HKG_1820,UAFH_HKG_1820,City Gate,,Hongkong,,Hongkong,Hongkong,FH,,FH,Y,HKD,133,577,104370.7900,104370.7900000000,13383.443940,246123.0000,13383.4439400000,31560.299321,141752.340000,141752.340000,18176.855381,1,205.870000,205.870000,26.398666,1,89,266,48315.7500000000,6195.5182240000,6195.518224,122,358,87359.2100,87359.2100000000,11215.2726280000,60,221,57905.9800,57905.9800000000,7434.0341730000,102,605,98129.5700,98129.5700000000,12597.9834340000,,,3006,1483,,,,,,,,,,,,,,,2276,1225,1841,2376227.015000,O&O,Y,Y,2583.0000,,Y,2020-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-17,202546,2,202502,2025,Retail,,HKG_2262,UABH_HKG_2262,Manning House,,Hongkong,,,,BH,,BH,Y,HKD,43,80,31300.2800,31300.2800000000,4013.628168,35818.0000,4013.6281680000,4592.934431,4520.720000,4520.720000,579.306263,6,1652.000000,1652.000000,211.835604,2,33,58,25474.5000000000,3266.5896520000,3266.589652,42,82,27601.1500,27601.1500000000,3543.4663620000,39,74,31095.3000,31095.3000000000,3992.0492290000,38,109,42473.9500,42473.9500000000,5452.8529820000,,,424,231,,,,,,,,,,,,,,,357,140,313,915158.280000,O&O,Y,Y,5372.0000,,Y,2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-17,202546,2,202502,2025,UAHONGKONGWFH,,UAHKG04,UAHKG04,HONG KONG KOWLOON OLYMPIAN CITY,,Hongkong,,,HONG KONG,BH,,BH,Y,HKD,144,1,9161.3200,9161.3200000000,1174.754091,0.0000,1174.7540910000,0.000000,0.000000,0.000000,-1174.754091,0,0.000000,0.000000,0.000000,0,95,0,5441.4500000000,697.7559620000,697.755962,,,,,,,,,,,,,,,,,,262,113,,,,,,,,,,,,,,,,,,,FP,Y,Y,0.0000,,Y,2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
