date_code,year_id,month_id,week_id,store_code,store_name,customer_name,channel,store_type,country,region,province,short_name,city,area,cluster,sub_channel,material,product_name,key_items,sku,style,division,gender,enduse,silhouette,sub_silhouette,fit_type,qty,lw_qty,lm_qty,amt,lw_amt,lm_amt,season_code,msrp,key_stories,product_line
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1360939-433,Armour Bike Short,,1360939-433-SM,1360939,Apparel,Womens,Training,Bottoms,Shorts,Compression,1,,,125.97000,,,SS23,0.000,Others,Inline
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1361683-410,UA HG Armour Fitted SS,,1361683-410,1361683,Apparel,Mens,Training,Tops,Short-Sleeves,Fitted,1,,4,156.97000,,448.49000,FW24,0.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1380477-001,UA Loudon Mini Backpack-BLK,Others,1380477-001-OSFM,1380477,Accessories,Unisex,Training,Bags,Backpacks,One Size Fits Most,1,,,136.97000,,,FW24,249.000,,Inline
2025-02-19,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1383348-025,UA Vanish Elite Hybrid Short-3XL,,1383348-025,1383348,Apparel,Mens,Training,Bottoms,Shorts,Fitted,1,,,599.00000,,,,,,
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1383356-390,UA Tech Woven Wordmark Short,,1383356-390,1383356,Apparel,Mens,Training,Bottoms,Shorts,Loose,2,1,4,448.50000,209.30000,568.10000,SS25,299.000,,Inline
2025-02-19,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1112223-001,SHOPPING BAG,,1112223-001,1112223,Accessories,Unisex,All Sports,,,,1,7,23,1.00000,7.00000,23.00000,,,,
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1382718-001,BHM Woven Cargo Jacket-BLK,,1382718-001-MD,1382718,Apparel,Womens,Training,Tops,Warmup Tops,Loose,1,,,340.99000,,,SS24,0.000,,Inline
2025-02-19,2025,202502,202546,UABH_HKG_1470,Olympian City,Retail,O&O,BH,Hongkong,,,,Hongkong,1246.0000,,BH,1379149-015,UA Vanish Seamless SS,Vanish Seamless,1379149-015,1379149,Apparel,Womens,Training,Tops,Short-Sleeves,Fitted,1,,,244.30000,,,FW24,399.000,,Inline
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1376705-015,W BLITZING37 ADJ-GRY,,1376705-015,1376705,Accessories,Womens,Sportstyle,Headwear,Caps,One Size Fits Most,3,,,291.90000,,,SS24,0.000,,Inline
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1388529-001,UA UNSTOPPABLE CW 7PKT Pant-BLK/BLK-30x34,Golf Bottom-Unstoppable,1388529-001,1388529,Apparel,Mens,Golf,Bottoms,Pants,No Fit Type,1,,,727.44000,,,FW24,1299.000,,Inline
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1329582-408,UA TEAM ISSUE WORDMARK SS,Graphics,1329582-408,1329582,Apparel,Mens,Sportstyle,Tops,Short-Sleeve Graphics,Loose,2,,9,348.60000,,1095.60000,SS25,249.000,,Inline
2025-02-19,2025,202502,202546,UABH_HKG_1470,Olympian City,Retail,O&O,BH,Hongkong,,,,Hongkong,1246.0000,,BH,1390300-001,UA Icon HWT Tee Taping,,1390300-001,1390300,Apparel,Mens,Sportstyle,Tops,Short-Sleeves,Loose,1,,,379.00000,,,SS25,0.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,3026027-500,UA W Ignite Pro SL,,3026027-500-8,3026027,Footwear,Womens,Sportstyle,Sandals,Slides,Regular,1,,,138.01000,,,SS24,329.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1377108-468,Armour Emboss Legging,,1377108-468-LG,1377108,Apparel,Womens,Training,Bottoms,Leggings,Compression,1,,,210.01000,,,SS23,0.000,Women's Bra & Fitted Bottoms,Inline
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1386898-273,Pjt Rck HWT FZ Tools,Project Rock,1386898-273,1386898,Apparel,Mens,Sportstyle,Tops,Fleece Tops,Loose,1,,,503.44000,,,FW24,799.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1361506-025,UA HG Armour Fitted LS,,1361506-025-LG,1361506,Apparel,Mens,Training,Tops,Long-Sleeves,Fitted,-1,,,-262.02000,,,FW24,0.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1387045-400,Unisex UA AD Pro 3pk ULT-BLU,,1387045-400-LG,1387045,Accessories,Adult Unisex,Training,Socks,Low Socks,Regular,1,,,111.98000,,,,0.000,,
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1379530-001,UA Performance Cotton 3p Mid,Others,1379530-001,1379530,Accessories,Adult Unisex,Sportstyle,Socks,High Socks,Regular,4,,,492.90000,,,SS25,149.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1365229-432,UA HG IsoChill Comp SS-BLU,,1365229-432-MD,1365229,Apparel,Mens,Training,Tops,Short-Sleeves,Compression,1,,,208.97000,,,,0.000,,
2025-02-19,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1379157-348,Meridian Jacket-GRN,,1379157-348,1379157,Apparel,Womens,Training,Tops,Long-Sleeves,Fitted,1,,,749.00000,,,SS25,799.000,,Inline
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1356305-465,UA Rival Logo SS,,1356305-465,1356305,Apparel,Womens,Sportstyle,Tops,Short-Sleeve Graphics,Loose,1,,,97.51000,,,FW24,0.000,,Inline
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1369855-504,Rival Terry Hoodie,,1369855-504,1369855,Apparel,Womens,Training,Tops,Long sleeve,Loose,1,,,129.00000,,,,,,
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1383254-025,UA Midlayer QZ LB-GRY,,1383254-025,1383254,Apparel,Mens,Golf,Tops,Warmup Tops,Loose,1,,,391.44000,,,,0.000,,
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1326799-014,UA M SPORTSTYLE LC SS,,1326799-014-SM,1326799,Apparel,Mens,Sportstyle,Tops,Short-Sleeves,Loose,1,,,104.03000,,,FW24,0.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1360939-019,Armour Bike Short,,1360939-019-SM,1360939,Apparel,Womens,Training,Bottoms,Shorts,Compression,1,,,299.00000,,,SS25,349.000,,Inline
2025-02-19,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1390172-279,UA M 60/40S MUSEUM OF UA SS-LG,,1390172-279,1390172,Apparel,Mens,Sportstyle,Tops,Short-Sleeve Graphics,Loose,1,,,299.00000,,,SS25,0.000,,Inline
2025-02-19,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1387087-100,UA PT SlipSpeed 2pk NS-WHT,,1387087-100,1387087,Accessories,Adult Unisex,Training,Socks,Low Socks,Regular,1,,1,159.00000,,159.00000,,0.000,,
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1372120-410,MFO Movement Ankle Leg,,1372120-410-XS,1372120,Apparel,Womens,Training,Bottoms,Leggings,Fitted,1,,,86.98000,,,SS23,0.000,Others,MFO
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1383648-025,UA Rival Core SS,,1383648-025,1383648,Apparel,Womens,Sportstyle,Tops,Short-Sleeves,Loose,1,,,199.20000,,,SS25,0.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1363280-410,UA B SPORTSTYLE LEFT CHEST SS,,1363280-410-YLG,1363280,Apparel,Boys,Sportstyle,Tops,Short-Sleeve Graphics,Loose,1,,,104.03000,,,FW24,199.000,,Inline
2025-02-19,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1381925-709,UA Project Rock Gym Sack-GRN,Others,1381925-709,1381925,Accessories,Unisex,Training,Bags,Sackpacks,One Size Fits Most,1,,,299.00000,,,FW24,349.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,3027106-600,UA BGS Charged Rogue 4-RED,,3027106-600-4,3027106,Footwear,Boys,Running,Performance Sneakers,Visual Cushioning,Regular,1,,,230.98000,,,FW24,549.000,,
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1384230-044,"Tech SSC- Twist,XS",,1384230-044-XL,1384230,Apparel,Womens,Training,T-Shirt,短T-Shirt,Loose,1,,,229.02000,,,SS25,0.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1364181-001,UA Hustle Sport Backpack,0,1364181-001-OSFA,1364181,Accessories,Unisex,Training,Bags,Backpacks,One Size Fits All,1,,,399.00000,,,SS25,399.000,,Inline
2025-02-19,2025,202502,202546,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1382726-561,UA Rush Woven FZ OS Jkt-PPL,,1382726-561,1382726,Apparel,Womens,Training,Tops,Warmup Tops,Loose,1,,,479.20000,,,,0.000,,
2025-02-19,2025,202502,202546,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1382698-001,UA Rival Sport Windbreak Jkt,Others,1382698-001,1382698,Apparel,Womens,Sportstyle,Tops,Warmup Tops,Loose,1,,,549.00000,,,SS25,599.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1383418-465,UA Launch 6 Short,,1383418-465-SM,1383418,Apparel,Womens,Running,Bottoms,Shorts,Fitted,1,,,171.02000,,,FW24,0.000,,Inline
2025-02-19,2025,202502,202546,EC-HK,HK,EC,EC,EC-HK,Hongkong,,,HK,,0.0000,,UA.com,1389823-114,UA RUN 96 SHORTSLEEVE,,1389823-114-LG,1389823,Apparel,Mens,Running,Tops,Short-Sleeves,Fitted,1,,,105.01000,,,SS25,349.000,,Inline
