date_code,year_id,month_id,week_id,store_code,store_name,customer_name,channel,store_type,country,region,province,short_name,city,area,cluster,sub_channel,material,product_name,key_items,sku,style,division,gender,enduse,silhouette,sub_silhouette,fit_type,qty,lw_qty,lm_qty,amt,lw_amt,lm_amt,season_code,msrp,key_stories,product_line
2025-03-01,2025,202503,202547,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1375693-001,UA SEAMLESS STRIDE LS,Run Seamless,1375693-001,1375693,Apparel,Mens,Running,Tops,Long-Sleeves,Fitted,2,3,,471.45000,691.46000,,FW24,499.000,,Inline
2025-03-01,2025,202503,202547,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1361683-410,UA HG Armour Fitted SS,,1361683-410,1361683,Apparel,Mens,Training,Tops,Short-Sleeves,Fitted,4,,7,583.03000,,874.56000,FW24,0.000,,Inline
2025-03-01,2025,202503,202547,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1376782-025,UA Vanish Elite Short,Core Shorts,1376782-025,1376782,Apparel,Mens,Training,Bottoms,Shorts,Fitted,1,,,599.00000,,,SS25,599.000,,Inline
2025-03-01,2025,202503,202547,UAHKG06,HONG KONG TKO POPCORN,UAHONGKONGWFH,FP,BH,Hongkong,,,,,0.0000,,BH,1240539-009,UA Ozsee Sackpack,,1240539-009-OSFA,1240539,Accessories,Unisex,Training,Bags,Sackpacks,One Size Fits All,0,,,17.14000,,,SS25,149.000,,Inline
2025-03-01,2025,202503,202547,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1387090-001,Curry Travel Jacket,,1387090-001,1387090,Apparel,Mens,Basketball,Tops,Warmup Tops,Loose,1,,,199.00000,,,FW24,799.000,,Inline
2025-03-01,2025,202503,202547,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,1376700-044,M BLITZING STR,,1376700-044,1376700,Accessories,Mens,Sportstyle,Headwear,Caps,Stretch Fit,1,,1,114.50000,,229.00000,SS25,249.000,,Inline
2025-03-01,2025,202503,202547,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1382875-044,UA Legacy Windbreaker,,1382875-044,1382875,Apparel,Mens,Sportstyle,Tops,Long-Sleeves,Loose,2,2,2,622.80000,726.60000,1048.60000,SS24,0.000,,Inline
2025-03-01,2025,202503,202547,UAHKG06,HONG KONG TKO POPCORN,UAHONGKONGWFH,FP,BH,Hongkong,,,,,0.0000,,BH,1364180-002,UA Hustle Lite Backpack,Others,1364180-002-OSFA,1364180,Accessories,Unisex,Training,Bags,Backpacks,One Size Fits All,0,,0,16.00000,,39.85000,SS25,279.000,,Inline
2025-03-01,2025,202503,202547,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1376705-015,Women's UA Blitzing Adj,,1376705-015,1376705,Accessories,Womens,Sportstyle,Headwear,Caps,One Size Fits Most,2,1,1,194.60000,139.00000,139.30000,SS24,0.000,,Inline
2025-03-01,2025,202503,202547,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1384246-490,Velocity Solid SSC,Others,1384246-490,1384246,Apparel,Womens,Training,Tops,Short-Sleeves,Loose,1,1,4,69.65000,97.51000,278.60000,FW24,249.000,,MFO
2025-03-01,2025,202503,202547,UABH_HKG_2262,Manning House,Retail,O&O,BH,Hongkong,,,,,5372.0000,,BH,3027600-103,UA Project Rock 7,,3027600-103,3027600,Footwear,Mens,Training,Performance Sneakers,Technical Performance,Regular,1,1,,674.50000,1349.00000,,SS25,0.000,,Inline
2025-03-01,2025,202503,202547,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1386886-100,Pjt Rck Icon Flc SS Hdy BOH-WHT/BLK-XXL,,1386886-100,1386886,Apparel,Mens,Training,Tops,Fleece Tops,Loose,1,,1,244.65000,,342.51000,,0.000,,
2025-03-01,2025,202503,202547,UAHKG06,HONG KONG TKO POPCORN,UAHONGKONGWFH,FP,BH,Hongkong,,,,,0.0000,,BH,1379155-464,Meridian SS-LG,Meridian Top,1379155-464-MD,1379155,Apparel,Womens,Training,Tops,Long-Sleeves,Fitted,0,0,,25.71000,51.42000,,FW24,499.000,,Inline
2025-03-01,2025,202503,202547,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1383356-014,UA Tech Woven Wordmark Short-GRY,,1383356-014,1383356,Apparel,Mens,Training,Bottoms,Shorts,Loose,1,,3,149.50000,,388.70000,SS25,299.000,,Inline
2025-03-01,2025,202503,202547,UAFH_HKG_1820,City Gate,Retail,O&O,FH,Hongkong,,Hongkong,,Hongkong,2583.0000,,FH,1386785-230,UA M OUTDOOR TENT SS,,1386785-230,1386785,Apparel,Mens,Outdoor,Tops,Short-Sleeve Graphics,Loose,2,,1,186.74000,,74.70000,FW24,0.000,,Inline
