date_code,year_id,month_id,week_id,store_code,store_name,customer_name,channel,store_type,country,region,province,short_name,city,area,cluster,sub_channel,material,product_name,key_items,sku,style,division,gender,enduse,silhouette,sub_silhouette,fit_type,qty,lw_qty,lm_qty,amt,lw_amt,lm_amt,season_code,msrp,key_stories,product_line
2025-02-11,2025,202502,202545,DSBH_CHN_EC29,爱库存-安德玛童装佑旅旗舰店,Ulee,FP,,Mainland,East,Zhejiang,EC29,Hangzhou,0.0000,,Others,1366065-100,ColdGear LS Crew-WHT,Others,1366065-100-YMD,1366065,Apparel,Girls,Training,Tops,Long-Sleeves,Fitted,-1,,1,-69.80000,,75.85000,FW24,349.000,,Inline
2025-02-11,2025,202502,202545,UAFH_CHN_2976,"Dalian Ganjingzi Shanshan Outlets FHHT ",Retail,O&O,FH,Mainland,North,Dalian,2976,Liaoning,356.0000,,FH,1379767-001,UA Rival Fleece FZ Hoodie,Others,1379767-001-LG,1379767,Apparel,Mens,Sportstyle,Tops,Fleece Tops,Loose,1,,,222.77000,,,SS25,549.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_2595,Shenyang heping Taiyuan Street SF BHCC EVO,YY-SY,FP,BH,Mainland,YY,Liaoning,2595,Shenyang,506.0000,AA,BH,1382648-803,UA LASER TEE,Iso Chill Run,1382648-803-XXL,1382648,Apparel,Mens,Running,Tops,Short-Sleeves,Fitted,1,,,280.20000,,,SS24,499.000,,Inline
2025-02-11,2025,202502,202545,586764,EC-TMALL Outlet,EC,EC,EC-CN,Mainland,,,EC-TMALL Outlet,,0.0000,,MarketPlace,3024898-001,UA HOVR Sonic 5,SONIC,3024898-001-7.5,3024898,Footwear,Mens,Running,Sneakers,Low,Regular,1,,,274.72000,,,SS24,999.000,,MFO
2025-02-11,2025,202502,202545,DSBH_CHN_2409,Pingdingshan Weidong Wanda Plaza SM BHCC,YY-HN,FP,BH,Mainland,YY,Henan,2409,,169.0000,B,BH,3027593-002,UA Phantom 4,PHANTOM,3027593-002-9.5,3027593,Footwear,Mens,Sportstyle,Performance Sneakers,Technical Performance,Regular,1,,,995.00000,,,SS25,1199.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_2068,ShenzhenLonghua Uniwalk SM BHCC,SZSW,FP,BH,Mainland,South,Guangdong,2068,Shenzhen,214.0000,B,BH,1364410-289,UA Drive Tapered Pant,Golf Bottom-Drive,1364410-289-34/30,1364410,Apparel,Mens,Golf,Bottoms,Pants,No Fit Type,1,,,799.00000,,,SS25,799.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_TMP6,YY-QD Office Store,YY-QD,FP,BH,Mainland,YY,Shandong,TMP6,Qingdao,0.0000,,BH,6006009-625,APAC W CNY HW Terry 1/4 Zip-CDL/MGD-LG,,6006009-625-XL,6006009,Apparel,Womens,Sportstyle,Tops,Long-Sleeves,Loose,-1,,,-473.55000,,,SS25,799.000,,Regional Development (incl. Dome)
2025-02-11,2025,202502,202545,DSBH_CHN_LCSG,Ulee licensing store,Ulee,FP,BH,Mainland,Youth,Zhejiang,LCSG,Hangzhou,0.0000,,BH,2441303-U0130,时尚休闲鞋,,2441303-U0130-4,2441303,服装,中性,休闲鞋,时尚休闲鞋,,,1,2,1,461.00000,298.00000,159.00000,,499.000,,
2025-02-11,2025,202502,202545,DSBH_CHN_YLJD,ULEE JDSHOP,Ulee,FP,EC,Mainland,Youth,Zhejiang,YLJD,Hangzhou,0.0000,,EC,3028194-001,GS CURRY 12 EXTL,SIGNATURE,3028194-001-5,3028194,Footwear,Youth Unisex,Basketball,Performance Sneakers,Court Performance,Regular,-1,,,-809.00000,,,FW24,899.000,,Inline
2025-02-11,2025,202502,202545,UAFH_CHN_1082RR,Hefei Sassors Outlets,Retail,O&O,FH,Mainland,East_Other,Anhui,HFOL,Hefei,503.0000,,FH,3028612-102,UA Charged Decoy Lux-GRY,L4L FTW INLINE,3028612-102-7.5,3028612,Footwear,Mens,Running,Performance Sneakers,Visual Cushioning,Regular,-1,,,-249.00000,,,SS24,799.000,,Regional Development (incl. Dome)
2025-02-11,2025,202502,202545,DSBH_CHN_TMP1,Sparkling Office Store,SH Sparkling,FP,BH,Mainland,East,Jiangsu,TMP1,Suzhou,0.0000,,BH,1379670-688,UA Meridian SS,Meridian,1379670-688-XXL,1379670,Apparel,Mens,Training,Tops,Short-Sleeves,Fitted,1,,,301.00000,,,SS24,549.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_1547R,Qingdao Chengyang Liqun DS BHCC EVO,YY-QD,FP,BH,Mainland,YY,Shandong,1547,Qingdao,210.0000,B,BH,3028169-101,UA Infinite Elite 2,,3028169-101-9.5,3028169,Footwear,Mens,Running,Performance Sneakers,Technical Performance,Regular,1,,,1149.00000,,,SS25,1299.000,,Inline
2025-02-11,2025,202502,202545,UAFH_CHN_1954,Shenyang Shanshan Outlets FH,Retail,O&O,FH,Mainland,North,Liaoning,SYSSOL,Shenyang,323.0000,,FH,1386311-035,Unisex UA TC 3pk Crew-GRY,,1386311-035-MD,1386311,Accessories,Adult Unisex,Training,Socks,High Socks,Regular,0,,,0.00000,,,SS25,129.000,,Inline
2025-02-11,2025,202502,202545,UAFH_CHN_2109,Guiyang Shanshan Outlets,Retail,O&O,FH,Mainland,West,Guizhou,2109,Guiyang,430.0000,,FH,1351267-411,UA Play Up Cap-BLU,Others,1351267-411-OSFA,1351267,Accessories,Womens,Sportstyle,Headwear,Caps,One Size Fits All,1,,,149.00000,,,SS24,229.000,,MFO
2025-02-11,2025,202502,202545,DSBH_CHN_0619,Changshu Incity SM,SH Sparkling,FP,BH,Mainland,East,Jiangsu,0619,changshu,336.0000,A,BH,6007155-279,UA HOVR Apparition CNY,,6007155-279-5.5/7,6007155,Footwear,Adult Unisex,Sportstyle,Performance Sneakers,Technical Performance,Regular,1,,,949.00000,,,SS25,999.000,,Regional Development (incl. Dome)
2025-02-11,2025,202502,202545,DSBH_CHN_3013,Ningbo Yuyao Hualian DS Youth,Ulee,FP,BH,Mainland,East,Zhejiang,3013,Ningbo,67.0000,,BH,6004934-600,GS CURRY 12 SN-22.5,,6004934-600-6.5,6004934,Footwear,Unisex,Basketball,Performance Sneakers,Court Performance,Regular,1,,,386.57000,,,SS25,899.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_2769,Suzhou Zhangjiagang Mambat Plaza SM Youth,Ulee,FP,BH,Mainland,East,Jiangsu,2769,Suzhou,80.0000,,BH,1386533-001,UA Armour Flc Pro Gym Pt-AE-BLK,,1386533-001-YMD,1386533,Apparel,Girls,Training,Bottoms,Pants,Loose,1,,,199.00000,,,FW24,349.000,,Inline
2025-02-11,2025,202502,202545,DSFH_CHN_2429,Xuzhou Quanshan Shanshan Outlets FH,SH Sparkling,FP,FH,Mainland,East,Jiangsu,2429,Xuzhou,282.0000,OL,FH,1383558-011,UA Shorebreak Shorts-GRY,Shorebreak,1383558-011-MD,1383558,Apparel,Womens,Fish,Bottoms,Shorts,Loose,1,,,209.00000,,,SS24,349.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_TMP6,YY-QD Office Store,YY-QD,FP,BH,Mainland,YY,Shandong,TMP6,Qingdao,0.0000,,BH,1373997-001,UA M LOGO EMB HEAVYWEIGHT SS-BLK,Graphics,1373997-001-3XL,1373997,Apparel,Mens,Sportstyle,Tops,Short-Sleeve Graphics,Loose,1,,,277.22000,,,SS25,349.000,,Inline
2025-02-11,2025,202502,202545,ECZ01048,"ULEE JD Flagship ",Ulee,FP,EC,Mainland,South,Zhejiang,ECZ0,Hangzhou,50.0000,,EC,1382196-001,UA Icon Fleece Jogger,,1382196-001-YLG,1382196,Apparel,Boys,Sportstyle,Bottoms,Fleece Bottoms,Loose,1,,1,349.00000,,126.28000,FW24,349.000,,Inline
2025-02-11,2025,202502,202545,DSFH_CHN_1671,Qingdao Huangdao Rio Carnival City outlet,YY-QD,FP,FH,Mainland,YY,Shandong,1671,Qingdao,187.0000,OL,FH,1382958-100,UA Essential Low Cut 3pk,Others,1382958-100-MD,1382958,Accessories,Adult Unisex,Sportstyle,Socks,Low Socks,Regular,1,,,87.00000,,,SS25,129.000,,Inline
2025-02-11,2025,202502,202545,UAFH_CHN_1923,BEIJING YANSHA OUTLETS,Retail,O&O,FH,Mainland,North,Beijing,BJYS,Beijing,230.0000,,FH,6001975-024,APAC EF Core Down Jkt,L4L Outerwear,6001975-024-XXL,6001975,Apparel,Mens,Training,Outerwear,Jackets,Loose,1,,,490.21000,,,FW24,1399.000,,Regional Development (incl. Dome)
2025-02-11,2025,202502,202545,UAFH_CHN_1437,Beijing Capital Outlet FH,Retail,O&O,FH,Mainland,North,Beijing,1437,Beijing,290.0000,OL,FH,1359873-001,UA Seamless LS-BLK,0,1359873-001-XXL,1359873,Apparel,Mens,Training,Tops,Long-Sleeves,Fitted,1,,1,199.00000,,199.00000,SS24,499.000,,MFO
2025-02-11,2025,202502,202545,586764,EC-TMALL Outlet,EC,EC,EC-CN,Mainland,,,EC-TMALL Outlet,,0.0000,,MarketPlace,1381666-001,Smartform Evo Mid LongL CF-BLK,Smartform Evo,1381666-001-LG,1381666,Apparel,Womens,Training,Bras,Sport Bras,Fitted,3,1,0,432.03000,166.60000,0.00000,SS24,499.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_LCSG,Ulee licensing store,Ulee,FP,BH,Mainland,Youth,Zhejiang,LCSG,Hangzhou,0.0000,,BH,241201040-U0084,圆领短袖T恤,,241201040-U0084-M,241201040,服装,女,短袖T恤,短袖T恤,,,1,1,,103.44000,129.00000,,,239.000,,
2025-02-11,2025,202502,202545,DSBH_CHN_2192,LANZHOU CITY CENTER SPORTS FLOOR SM,SHAANXI 5 RING,FP,BH,Mainland,West,Gansu,2192,Lanzhou,176.0000,B,BH,1387030-001,UA Expanse Quilted Shacket-BLK,Others,1387030-001-MD,1387030,Apparel,Mens,Outdoor,Tops,Fleece Tops,Loose,1,,,932.31000,,,FW24,999.000,,Inline
2025-02-11,2025,202502,202545,UAFH_CHN_0286RRR,Beijing Changping Badaling Outlets,Retail,O&O,FH,Mainland,North,Beijing,0286,Beijing,297.0000,OL,FH,6003783-001,UA Vantage Lux 2 SD-BLK,,6003783-001-10,6003783,Footwear,Mens,Sportstyle,Performance Sneakers,Visual Cushioning,Regular,1,,,349.40000,,,FW24,749.000,,Regional Development (incl. Dome)
2025-02-11,2025,202502,202545,DSBH_CHN_LCSG,Ulee licensing store,Ulee,FP,BH,Mainland,Youth,Zhejiang,LCSG,Hangzhou,0.0000,,BH,251124129-U0015,连帽针织外套,,251124129-U0015-YXL,251124129,服装,男,针织外套,针织外套,,,2,1,,645.99000,169.50000,,,599.000,,
2025-02-11,2025,202502,202545,UAFH_CHN_2051,Huizhou Huicheng Xinyue Outlets,Retail,O&O,FH,Mainland,South,Guangdong,HZXY,Huizhou,305.0000,,FH,1386313-035,Unisex UA TC 3pk No Show,Others,1386313-035-LG,1386313,Accessories,Adult Unisex,Training,Socks,Low Socks,Regular,1,,,77.40000,,,SS25,129.000,,Inline
2025-02-11,2025,202502,202545,UAFH_CHN_1555,Ningbo Shanjing Outlet FH,Retail,O&O,FH,Mainland,East_Other,Zhejiang,1555,Ningbo,300.0000,OL,FH,1382874-001,UA Legacy Crinkle Jacket,Sporstyle Woven,1382874-001-XXL,1382874,Apparel,Mens,Sportstyle,Tops,Long-Sleeves,Loose,1,,,377.40000,,,SS24,799.000,,Inline
2025-02-11,2025,202502,202545,0019078206,Tiktok Store,EC,EC,EC-CN,Mainland,,,Tiktok Store,,0.0000,,MarketPlace,3028539-108,UA SlipSpeed Mega Ripstop-GRY,MEGA,3028539-108-10/11.5,3028539,Footwear,Adult Unisex,Lifestyle,Performance Sneakers,Technical Performance,Regular,1,,,679.00000,,,FW24,1099.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_TP27,YY-SJZ group sales store,YY-SJZ,FP,BH,Mainland,YY,Hebei,TP27,Shijiazhuang,0.0000,,BH,1376066-003,CLOUDSTRIKE STRETCH JKT,Shell,1376066-003-3XL,1376066,Apparel,Mens,Outdoor,Outerwear,Jackets,Loose,1,,,770.62000,,,SS25,1299.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_TMP1,Sparkling Office Store,SH Sparkling,FP,BH,Mainland,East,Jiangsu,TMP1,Suzhou,0.0000,,BH,3027187-200,UA Infinite Pro Cool Down,INFINITE,3027187-200-8.5,3027187,Footwear,Mens,Running,Performance Sneakers,Technical Performance,Regular,1,,,659.00000,,,SS24,1199.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_LCSG,Ulee licensing store,Ulee,FP,BH,Mainland,Youth,Zhejiang,LCSG,Hangzhou,0.0000,,BH,251223166-U0026,梭织长裤,,251223166-U0026-L,251223166,服装,中性,梭织裤,梭织长裤,,,2,,1,679.19000,,215.60000,,539.000,,
2025-02-11,2025,202502,202545,EC_CHN_WPH02,ULEE 唯品会专卖店,Ulee,FP,EC,Mainland,South,Zhejiang,WPH0,Hangzhou,0.0000,,EC,1379525-001,UA Rival Fleece Joggers,,1379525-001-YSM,1379525,Apparel,Girls,Sportstyle,Bottoms,Pants,Loose,1,,1,125.00000,,89.00000,SS25,299.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_TP27,YY-SJZ group sales store,YY-SJZ,FP,BH,Mainland,YY,Hebei,TP27,Shijiazhuang,0.0000,,BH,1388824-001,UA Unstoppable Straight Pant,Unstoppable Woven,1388824-001-XXL,1388824,Apparel,Mens,Sportstyle,Bottoms,Pants,Loose,-1,,,-479.00000,,,SS25,899.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_LCSG,Ulee licensing store,Ulee,FP,BH,Mainland,Youth,Zhejiang,LCSG,Hangzhou,0.0000,,BH,244124103-U0079,连帽针织外套,,244124103-U0079-YXL,244124103,服装,男,针织外套,针织外套,,,11,2,1,2041.35000,282.00000,104.46000,,599.000,,
2025-02-11,2025,202502,202545,DSBH_CHN_LCSG,Ulee licensing store,Ulee,FP,BH,Mainland,Youth,Zhejiang,LCSG,Hangzhou,0.0000,,BH,234108073-U0015,梭织长裤,,234108073-U0015-LG,234108073,服装,男,长裤,梭织长裤,,,1,,,129.00000,,,,549.000,,
2025-02-11,2025,202502,202545,UAFH_CHN_0827R,Hangzhou Xiasha Outlet,Retail,O&O,FH,Mainland,East_Other,Zhejiang,0827,Hangzhou,309.0000,,FH,1327040-012,UA Playoff 2.0 1/4 Zip,Others,1327040-012-MD,1327040,Apparel,Mens,Golf,Tops,Warmup Tops,Loose,1,,,359.40000,,,SS23,599.000,Others,MFO
2025-02-11,2025,202502,202545,UAFH_CHN_1847,"Yangzhou Sasseur FH ",Retail,O&O,FH,Mainland,East_Other,Jiangsu,YZSZC,Yangzhou,308.0000,,FH,3028449-001,UA W Charged Vantage Lux 2-BLK,OTHERS,3028449-001-7.5,3028449,Footwear,Womens,Running,Performance Sneakers,Visual Cushioning,Regular,1,,1,352.85000,,353.18000,SS24,749.000,,Regional Development (incl. Dome)
2025-02-11,2025,202502,202545,DSFH_CHN_2978,Zhengzhou Erqi Shanshan Outlets FHHT,YY-HN,FP,FH,Mainland,YY,Henan,2978,Zhengzhou,370.0000,OL,FH,1371129-001,UA COOLSWITCH RUN TEE,Others,1371129-001-XL,1371129,Apparel,Mens,Running,Tops,Short-Sleeves,Fitted,1,,,266.00000,,,SS24,399.000,,MFO
